RISCV_ISA,BARREL_SHIFTER,TWO_CYCLE_ALU,icestorm_lc,icestorm_ram,sb_io,sb_gb,icestorm_dsp,fmax_mhz,sw_code_size,hw_code_size,sw_dmips_per_mhz,hw_dmips_per_mhz
rv32i,0,0,3575/5280,28/30,16/96,8/8,0/8,19.96,82738,4288,0.282,0.309
rv32i,0,1,3580/5280,28/30,16/96,8/8,0/8,19.62,82738,4288,0.281,0.309
rv32i,1,0,3709/5280,28/30,16/96,8/8,0/8,18.74,82738,4288,0.289,0.307
rv32i,1,1,3804/5280,28/30,16/96,8/8,0/8,20.97,82738,4288,0.287,0.316
rv32im,0,0,4674/5280,28/30,16/96,8/8,0/8,19.00,82574,4148,0.292,0.314
rv32im,0,1,4679/5280,28/30,16/96,8/8,0/8,19.38,82574,4148,0.290,0.306
rv32im,1,0,4805/5280,28/30,16/96,8/8,0/8,18.90,82574,4148,0.297,0.305
rv32im,1,1,4896/5280,28/30,16/96,8/8,0/8,18.71,82574,4148,0.295,0.312
rv32ic,0,0,3999/5280,28/30,16/96,8/8,0/8,17.39,81582,3156,0.284,0.310
rv32ic,0,1,4110/5280,28/30,16/96,8/8,0/8,16.93,81582,3156,0.268,0.311
rv32ic,1,0,4186/5280,28/30,16/96,8/8,0/8,16.87,81582,3156,0.291,0.293
rv32ic,1,1,4216/5280,28/30,16/96,8/8,0/8,16.68,81582,3156,0.274,0.319
rv32imc,0,0,5161/5280,28/30,16/96,8/8,0/8,16.99,81528,3056,0.292,0.299
rv32imc,0,1,5160/5280,28/30,16/96,8/8,0/8,15.87,81528,3056,0.277,0.307
rv32imc,1,0,,,,,,,,,,
rv32imc,1,1,,,,,,,,,,
